Project Code,Project Title,Project Description,Faculty,Application URL,Project Mode
IP0MJ0000023,Illustration/Writing Book for STEM Content,"Interns will do the content documentation and the illustration work for the existing science/maths toys/games and activities. They will be required to use the toys/games/activities, discuss the same with the designer, understand and add value to the content document as a booklet. They might need to do a literature review on the internet for the concerned game/toy/activity and come up with interesting content. These booklets will used by thousands of students and teachers across the nation.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000024,Developing and Documenting STEM models/projects for School Education,"Interns will do the content documentation and the illustration work for the existing science/maths toys/games and activities that CCL has developed for school students. They will be required to use the toys/games/activities, discuss the same with the subject matter expert & designer, understand and add value to the content document as a booklet. They might need to do a literature review on the internet for the concerned game/toy/activity and come up with interesting content. These booklets will used by thousands of schools across the nation.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000025,Social Media and Web design Internship,"Create engaging posts and videos about various events, models and people at CCL. Keep all forms of social media updated with all the latest news and links about the lab. Engage proactively with all the lab members to understand what is happening and increase the social media presence of the lab on Instagram, Twitter, Linkedin & Facebook",Manish Jain,Apply Here,In Person Mode
IP0MJ0000026,Graphic Design for Board Games/Manuals of STEM Models,"Create well-designed boards, cards and manuals for games, toys and activities designed at CCL. Follow a brand language and add your creativity to various print media.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000027,Design and Development of Integrated Hands-on STEM Workshop Materials,Responsibilities for interns will include:,Manish Jain,Apply Here,In Person Mode
,,i. Research: Conducting thorough research on STEM topics and educational methodologies.,,,
,,"ii. Content Creation: Designing curriculum content, workshop flow, and hands-on activities that align with CCL's vision and learning objectives.",,,
,,"iii. Material Development: Collaborating with mentors to create tangible materials such as experiment kits, visual aids, and instructional tools.",,,
,,iv. Testing and Iteration: Testing of models for sessions to evaluate the effectiveness of workshop materials and incorporating feedback to refine content and activities.,,,
,,"v. Documentation: Documenting the developed modules, including creating instructional guides, manuals, and supplementary resources for workshop facilitators and participants.",,,
IP0MJ0000028,LEGO Technic STEM Projects,"This project focuses on creating STEM projects using LEGO Technic sets. Participants will explore various mechanisms and engineering concepts through hands-on building activities. The projects will cover a wide range of topics, providing an engaging way to learn about STEM principles.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000029,Electromagnetic Levitation Platform,"Creation of acoustic, magnetic and electromagnetic levitation devices. The work will involve research, design, fabrication and testing of electronic circuits and PID control to create models that will be used for STEM education and museum exhibits.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000030,Linear induction Motor and Thomson Jumping ring,"Research, design and development of the Linear Induction Motor (LIM) and the Thomson Jumping Ring. This internship offers a unique opportunity to delve into the principles of electromagnetic induction, motor design, and magnetic field dynamics.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000031,Semi automatic String Art Machine,"This project combines elements of creativity, engineering, and automation to create a unique device that produces intricate string art designs. As an intern, you will have the opportunity to work on various aspects of the project, contributing to its design, construction, and optimization.",Manish Jain,Apply Here,In Person Mode
IP0MK0000010,Development of forces in immersed components subjected to seismic shaking,"Earthquakes constitute one of the biggest threats to structure and equipment. While it may be possible to enhance the strength of structures depending on the earthquake hazard at the location, the design of equipment is often guided by functionality. This project is to understand the forces developed in objects submerged in a peculiarly shaped tank subjected to a specified earthquake loading. The work will start from understanding fundamental principles of fluid mechanics. We will try to develop closed-form analytical solutions to quantify forces developed in submerged components for some simple objects. Subsequently, the idea will be extended to a complex container representing a fast breeder reactor developed indigenously.",Manish Kumar,Apply Here,In Person Mode
IP0MK0000011,Development of a portable universal testing machine,"This project is to develop a portable universal testing machine (UTM). The work will involve a series of structural analyses of a lattice structure, integration of the load cell with the structural system and its calibration, and development of software and hardware to extract experimental data.",Manish Kumar,Apply Here,In Person Mode
IP0MMS0000001,Leveraging cognitive processes for acoustic vehicle alerting systems,"Supervisors: Nitin Jonathan Myers (Assistant Professor – TU Delft, Guest faculty – IIT Gandhinagar) Meera Mary Sunny (Associate Professor – IIT Gandhinagar)",Meera M Sunny,Apply Here,In Person Mode
,,,,,
,,"Research Field: Cognitive neuroscience, Array signal processing",,,
,,,,,
,,Project Aim: Extend the range of acoustic vehicle alerting systems (AVAS) and minimize drive-by-noise by integrating principles of perception and attention from cognitive neuroscience.,,,
,,,,,
,,Intern Contribution: This project offers an exciting opportunity for an intern to explore the fascinating intersection of cognitive science and signal processing. The intern will be involved in:,,,
,,,,,
,,"Understanding cognitive models of attention and perception: Gaining a deep understanding of how humans process and interpret information, with a focus on visual attention mechanisms.",,,
,,,,,
,,Designing space-time sequences for AVAS inspired by perception: Contributing to the development of novel array signal processing algorithms that incorporate attentional mechanisms.,,,
,,,,,
,,Contributing to scientific publications and presentations: Collaborating with the research team to present findings at conferences and prepare publications for peer-reviewed journals.,,,
,,,,,
,,Learning Outcomes:,,,
,,,,,
,,Gain valuable experience in interdisciplinary research at the forefront of signal processing and cognitive science.,,,
,,"Develop skills in data analysis, algorithm development, and scientific communication.",,,
,,Contribute to a project with the potential to revolutionize AVAS technology.,,,
,,,,,
,,Ideal Candidate:,,,
,,,,,
,,Enthusiastic student with a strong interest in cognitive science and its applications.,,,
,,Possesses good programming skills and familiarity with signal processing & data analysis tools.,,,
,,Effective communicator and team player with a strong work ethic.,,,
,,,,,
,,If you are a curious and motivated student with a passion for exploring the boundaries of,,,
,,"cognitive science and signal processing, then this project is for you!",,,
IP0MS0000012,LLMs for India,"The aim of this project is to create LLMs for Indian languages that can encode Indian culture, diversity and ethos. The Prerequisites for this project:",Mayank Singh,Apply Here,In Person Mode
,,1. Strong Python Programming skills.,,,
,,2. Familiarity with Pytorch.,,,
,,3. Basic of ML and NLP. Good understanding of Transformer Models and recently created LLMs.,,,
,,4. Idea of how to use models/datasets hosted on Huggingface website.,,,
IP0NB0000014,Develop SpiroMask end-to-end.,See: https://docs.google.com/document/d/10yJ-nkKbl6duJPzO5nEtIfUfFTIV02kYh3bG3jrzv3s/edit,Nipun Batra,Apply Here,In Person Mode
,,,,,
,,for project details and selection tasks.,,,
IP0NB0000015,Develop a respiration sensing system in SmartWatch.,See details and selection task here: https://docs.google.com/document/d/10yJ-nkKbl6duJPzO5nEtIfUfFTIV02kYh3bG3jrzv3s/edit,Nipun Batra,Apply Here,In Person Mode
IP0NB0000016,PollutionMapper: Tackling air pollution problem from the domain perspective,See selection task and project details here: https://docs.google.com/document/d/10yJ-nkKbl6duJPzO5nEtIfUfFTIV02kYh3bG3jrzv3s/edit,Nipun Batra,Apply Here,In Person Mode
IP0NB0000017,Air quality forecasting with machine learning with LLMs,See: https://docs.google.com/document/d/10yJ-nkKbl6duJPzO5nEtIfUfFTIV02kYh3bG3jrzv3s/edit,Nipun Batra,Apply Here,In Person Mode
,,,,,
,,for project details and selection tasks.,,,
IP0NB0000018,ML for sustainability: Satellite Data Processing for Detecting Pollution Sources using Computer Vision,See: https://docs.google.com/document/d/10yJ-nkKbl6duJPzO5nEtIfUfFTIV02kYh3bG3jrzv3s/edit for details and selection tasks,Nipun Batra,Apply Here,In Person Mode
IP0NRM0000013,Design of Nanosheet FETs and CFET based CMOS inveters for specific power and delay using DNNs,"The CMOS inverter is the smallest and most widely used logic in CMOS technology. In this work, the goal is to predict the design of an inverter (W, L of transistors) for given Power and Delay requirements. This work will be done in following steps, (a) Identification of an analytical model of Inverter delay and power in terms of Current (effective current) and Capacitance, (b) Verification of analytical model with TCAD Mixed mode simulations, (c) Building a forward device model using DNN for W/L predicting Current and Capacitance and (d) Efficient inverse design using grid search/ bayesian optimisation/ evolutionary algorithms. Skills needed: (a) Python with exposure in data science libraries numpy, pandas, tensorflow/ pytorch, (b) Good understanding of ML and Deep Learning models and framework, (c) Experience with TCAD tools for device structural and electrical simulations. The research scholar in my group will help in supervising and carrying out this work.",Nihar Ranjan Mohapatra,Apply Here,In Person Mode
IP0NRM0000014,Prediction of intermediate etching/deposition profiles using RNN/PINN/GPR,"The goal is to explore the sequential learning capabilities of RNN for time-series data and physics informed learning in NNs to track the process evolution. The application of ML models to predict sequential time-dependent structural changes resulting from process steps such as annealing, etching, or deposition is to be explored.",Nihar Ranjan Mohapatra,Apply Here,In Person Mode
,,"The training data can be extracted from TCAD tool as (deposited material thickness/ etched material thickness at various instants, process conditions) as (input, output). Skills required: (a) Python with exposure in data science libraries numpy, pandas, tensorflow/ pytorch, (b) Good understanding of ML and Deep Learning models and framework, (c) Insights of electronic devices and physics of transistors and (d) Exposure to TCAD tools for device structural and electrical simulations. The research scholars in my group will supervise and help you carry out this work.",,,
IP0NRM0000015,Design of a comparator for use in Pulse Width Modulated (PWM) waveform generator circuit,"This project involves design of a comparator circuit with >120dB gain and >5MHz operating frequency. Skills needed: Good knowledge of analog circuits, analog IC Design and experience of CAD tools. Research scholars in my group will help to carry out this work.",Nihar Ranjan Mohapatra,Apply Here,In Person Mode
IP0NRM0000016,Design of a 50Hz Sinusoidal Oscillator for Cryocooler Applications,The project involves design of a 50Hz sinusoidal oscillator with very low harmonic distortion. Skills Needed: Good knowledge of analog circuits and experience of CAD tools (spice).,Nihar Ranjan Mohapatra,Apply Here,In Person Mode
IP0PB0000002,Machine learning based battery lifetime estimation,Remaining useful lifetime (RUL) of the battery is an important parameter that is needed for battery reliability and finds applications in battery swapping and second lifetime applications along with performance optimization. Machine learning provides an accurate tool of data-driven battery lifetime estimation using internal state estimation with limited real-field measurements. In this project students will work on pre-collected datasets and develop RUL estimation algorithms using ML.,Pallavi Bharadwaj,Apply Here,In Person Mode
IP0PB0000003,Cost Benefit Assessment of Vehicle to Grid (V2G) Technology using LCoE for Indian Energy Ecosystem,Vehicle to grid involves using electric vehicle battery as an energy buffer for the grid under high demands. This however is limited due to high costs associated with battery cycling and replacement. Levelized cost of energy is an essential tool to understand when V2G is profitable considering grid electricity and battery state parameters. In this project students will develop a smart algorithm which ensures V2G power exchange with cost and battery life co-optimization. Basic machine learning and optimization skills are required.,Pallavi Bharadwaj,Apply Here,In Person Mode
IP0PG0100001,"“Design and synthesis of low-valent main group compounds for activation of small molecules (e.g. N2, H2, CO, CO2, ethylene etc.)”","Activation of small molecules for value added chemicals is one of the main frontier in inorganic chemistry. These activation are commonly done in the past using using low-valent transition metal complexes. However, due to their high price and toxicity, chemist are looking for alternative options. Low-valent main group compounds, those evolved in the last couple of decades, are consider as better alternatives due to their low price and low toxicity. In this project we will focus on designing low-valent main group compounds for activation of small molecules.",Priyabrata Ghana,Apply Here,In Person Mode
IP0RD0000001,Laboratory determination of specific gravity and bulk density of minerals for determination of mineral tonnage,"Students will perform a series of experiments to determine the porosity, density and specific gravity of natural samples collected from different mines across Gujarat. The results will be used to establish a new consistent approach for determination of mineral tonnage at these mining locations.",Rajkrishna Dutta,Apply Here,In Person Mode
IP0RH0000008,AI-enabled antenna design for communicatins and energy harvesting,"In this project, you will use AI techniques to rapidly design antennas and fabricate and test them. AI models are used to create surrogate models that give the antenna performance for a given input shape. Using these surrogate models, optimizations are run to synthesize an antenna for a given targeted performance. You need good background and exposure to AI, deep learning and python programming.",Ravi Hegde,Apply Here,In Person Mode
IP0RR0000005,Reactive molecular dynamics simulations of contaminant degradation,The project will involve Reactive Molecular Dyanamics simulations using the ReaxFF force field to probe the optimum conditions for degradation of a model pharmaceutical contaminant under the conditions of an electrochemical-based water treatment. The degradation pathways will also be ascertained.,Raghavan Ranganathan,Apply Here,In Person Mode
IP0RR0000006,Machine Learning based Force field for multi component alloys,The work involves two stages - the first requires Density Functional Theory (DFT) simulations to generate data sets for several classes of high entropy alloys (multi component alloys) that will serve as the training and test data sets. The second involves training an existing ML model for parametrization of a robust force field that will be used in Molecular Dynamics simulations of the alloys.,Raghavan Ranganathan,Apply Here,In Person Mode
IP0SG0000001,Protein Aggregation in Neurodegeneration,Accumulation of proteinaceous deposits is one of the major pathological hallmarks of Neurodegenerative Disease such as Alzheimer's and Parkinson's disease. In the project the inetrn will be studying various aspects of protein aggregation in in-vitro system.,sharad gupta,Apply Here,In Person Mode
IP0SK0000010,photocatalytic organic reactions with gold nanoparticles,We will use gold nanoparticles and concentrated sunlight to drive various organic reactions.,Saumyakanti Khatua,Apply Here,In Person Mode
IP0SK0000011,Studying blinking dynamics of single perovskite nanocrystals,We will study the blinking dynamics of perovskite nanocrystals using a various optical microscopy techniques,Saumyakanti Khatua,Apply Here,In Person Mode
IP0SK0100007,Effect of small molecules on biological system to develop novel therapeutics,"Synthesis, biochemical and cellular of small molecule inhibitors of selected kinases like ATR, TLK etc as well some potentially important targets of pathogens. The intern will work on developing methodology.",sivapriya kirubakaran,Apply Here,In Person Mode
IP0SKG0000008,Synthesis of fluorescent dye intermediates,The student will assist in literature review and synthesis of fluorescent dyes and their intermediates.,Sriram Kanvah Gundimeda,Apply Here,In Person Mode
IP0SL0000001,Pattern recognition using Resistance Memories based spiking neural network,"The project aims to develop algorithms to create a spiking neural network using resistive memories to solve pattern recognition (e.g. MNIST dataset). Project will involve utilization of programming language like python or matlab. First, the network algorithm will be designed to accomodate ideal weights behavior. The next stage will involve using the experimental resisstive memory data as weights to evaluate performance. The final stage involves experiments aware algorithms modifications to imrpove the performance of the neural network.",Sandip Lashkare,Apply Here,In Person Mode
IP0SM0000002,How are jumping genes controlled?,"DNA Transposition is tightly controlled in various ways, disruption of which is associated with several disease states. Transposable elements (TEs/”jumping genes”) may be regulated by small RNAs, chromatin remodelling, histone modifications, DNA methylation as well as binding partners. The regulation may be temporal or spatial wherein certain TEs can be turned on at specific stages of embryonic development or in specific cell types or tissues.",Sharmistha Majumdar,Apply Here,In Person Mode
,,,,,
,,"This project involves the investigation of differential expression of a human transposable element by analysing next generation sequencing datasets [transcriptomic, ChIPseq, epigenetic (Whole Genome Bisulfite Sequencing)] under diverse conditions. The study thus aims to elucidate the regulation mechanisms and function of a mobile genetic element.",,,
,,,,,
,,"Candidates with a background in Bioinformatics, Computational Biology and familiarity with the Unix/Linux operating systems, programming experience in shell scripts/C/C++/Java/R/Perl/Python languages are encouraged to apply.",,,
IP0SM0100003,Mining Open Source Software Repositories for Code Change Analysis,We will build a customized static analysis tool to identify code-test change patterns along the timeline of software evolution.,SHOUVICK MONDAL,Apply Here,In Person Mode
,,ONLY serious candidates with a strong interest and CSE background in software engineering/testing are encouraged to apply.,,,
IP0SM0100004,Generative AI meets Quantum Software Engineering,"We will build LLM-powered deployable software tools for processing quantum programs written in Cirq, Q#, Qiskit.",SHOUVICK MONDAL,Apply Here,In Person Mode
,,ONLY serious candidates with a strong interest and CSE background in software engineering/testing are encouraged to apply.,,,
IP0SP0100008,Development of IoT-enabled low-cost particular matter sensor,The current projects include the development of a low-cost sensor for the measurement of,Sameer Patel,Apply Here,In Person Mode
,,"airborne PM (particulate matter), aiming to provide real-time visualization of the air quality.",,,
,,The project involves designing a low-cost PM sensor that accurately reports the raw,,,
,,"scattering data. The sensor will be developed around the principle of light scattering, where",,,
,,the photodiode receives the scattered light by particles when incident upon by the incident,,,
,,light of a particular wavelength and converts scattered light intensity into voltage or pulse.,,,
,,"The first stage of the project will include (i) the development of sensor geometry, (ii) the",,,
,,"selection and positioning of photodiode and laser, and (iii) the extraction of raw scattering",,,
,,data in the form of pulses or voltage.,,,
,,"The project's second stage involves making our low-cost sensor IoT-enabled, where the host",,,
,,platform will offer a user-friendly interface for real-time visualization of scattering data along,,,
,,"with algorithm-enabled PM data (if required), allowing individuals and communities to make",,,
,,informed decisions about their environment.,,,
,,"Prerequisite: Soldering, dealing with multiple microelectronic components, working in",,,
,,"Arduino IDE, working with WiFi/IoT modules",,,
IP0SP0100009,Benchmarking the environmental performance of buildings in India using LCA,Building construction and operation accounts for more than 40% of total energy consumption in,Sameer Patel,Apply Here,In Person Mode
,,"India. By 2050, the current building construction and operation practices will lead to this sector",,,
,,contributing around 70% of carbon emissions. The construction phase results in significant resource,,,
,,"consumption, contributing to environmental impacts such as GHG emissions, freshwater depletion,",,,
,,and waste generation. Evaluating the environmental performance of buildings is critical from both,,,
,,"energy and resource perspectives, which could further be utilized to set a benchmark for various",,,
,,environmental performance indicators. Benchmarking is also crucial towards assessing the,,,
,,efficiency of green building materials and techniques.,,,
,,The current work focuses on benchmarking the environmental performances of buildings across,,,
,,different geographical regions in India. The project will involve setting up a life cycle impact,,,
,,"assessment method following the ISO 14000 series, which provides various frameworks and",,,
,,"terminologies for life cycle assessment. Afterwards, statistical and modelling techniques will be",,,
,,used to establish relationships between various impact categories and the location of the building,,,
,,and its features. The benchmarking for individual impact categories will be done through the,,,
,,established relationships.,,,
IP0SR0000012,Generative Deep Learning for Computer Vision,The project would aim to build generative learning models such as GANs and Diffusion models for several computer vision tasks which involve image/3D/video synthesis.,Shanmuganathan Raman,Apply Here,In Person Mode
IP0SR0100014,Sintering of ZnO for varistor applications,"This is an industrial project in which ZnO nanopowders will be compacted into a required shape and sintered to fully densify the specimens. These specimens will be soldered and coated with epoxies to be able to study electrical properties. The student will have an opportunity to learn different powder processing routes, materials characterization techniques (SEM, density measurements, electrical tests etc.) during this tenure. The student may have an opportunity to visit the concerned industry and closely working with their Engineers.",Sriharitha Rowthu,Apply Here,In Person Mode
IP0SR0100015,Friction and Wear of Metals,"This project is to investigate the friction and wear properties of lubricated metallic surfaces. The student will prepare the specimens, characterize the surface chemistry, surface roughness, morphologies before and after friction tests. The student will work under the guidance of a senior Ph.D. student.",Sriharitha Rowthu,Apply Here,In Person Mode
IP0SS0100007,Developing Nanoengineered Surfaces for Thermal Management Applications,"Advancements in nanoscale fabrication techniques allows us to develop scalable, metal-based , water repellent surfaces. Such surfaces promote dropwise condensation by virtue of which one can attain 7-10 times higher heat transfer performances. This project involves developing such unique surfaces, characterizing them (investigating droplet-surface interactions), and utilizing them for thermal management applications for electronics cooling and energy harvesting.",Soumyadip Sett,Apply Here,In Person Mode
IP0SS0100008,Fluid Interactions on Nanoengineered Surfaces,"Liquid-surface interactions are an integral part in everyday life and relevant in several industries. Mimicking from biological surfaces such as the lotus leaf and pitcher plant, surfaces can be engineered catering to specific applications. This project involves looking into liquid droplet interactions on such novel surfaces. From evaporation dynamics, to droplet impact, spread and even rebound in some cases, the surface characteristics is expected to play a major role. Using advanced imaging and computer vision techniques, we will investigate closely the role of surface structured on liquid dynamics.",Soumyadip Sett,Apply Here,In Person Mode
IP0SS0100009,Nanoengineered Surfaces for Antibacterial Applications,"Antibacterial surfaces are surfaces that can resist bacteria, relying on the nature of the material itself. It is significant for safe food and water, human health, and industrial equipment. Biofilm is the main form of bacterial contamination on the material surface. Preventing the formation of biofilm is an efficient way to develop antibacterial surfaces. The strategy for constructing the antibacterial surface is divided into bacteria repelling and bacteria killing based on the formation of the biofilm. Material surface wettability, adhesion, and steric hindrance determine bacteria repelling performance. Bacteria should be killed by surface chemistry or physical structures when they are attached to a material surface irreversibly. This project involves quantifying the antibacterial nature of novel surfaces (superhydrophobic, liquid-infused surfaces, phase change material infused surfaces, etc.)",Soumyadip Sett,Apply Here,In Person Mode
IP0SS0200003,Determination of Sky View Factor: An Important Parameter in Urban Climate Modelling,"Sky view factor (SVF) is a commonly used urban canopy parameter that aims to explore the effects of a complex urban geometry on climatological processes in built-up areas. The objective of the research work will be to evaluate and compare the SVF for starkly distinct urban landscapes existing within the IIT Gandhinagar campus. For retrieving the SVF in the urban environment, fish eye imagery will be used, which will be subsequently processed using different SVF calculation tools and models. The final stage of the research work aims to digitally automate the SVF calculation process through machine learning so that the SVF data acquisition for climatological studies could be made faster and more accurate. The student will learn to use these tools to calculate SVF, as well as to program an ML model using the open-source library TensorFlow.",Sushobhan Sen,Apply Here,In Person Mode
IP0SS0200004,Phase-field modelling of structural slabs,"Slabs are a commonly observed structure in a variety of applications, e.g., roads, buildings, airports, ports, etc. Slabs fail when they develop cracks in them, which indicates a decrease in structural capacity. Typically, slabs are analyzed using elastic theory, either through analytical models or numerical methods such as the Finite Element Method (FEM). However, this approach is unable to capture the development of cracks or decrease in structural capacity. Phase field modelling is a promising approach to fill this gap, which involves modelling a damage parameter to account for decrease in structural capacity. The damage parameter itself then becomes a proxy for the development of a crack. This project aims to model structural slabs using phase-field modelling on the open-source FEM platform CalculiX. The student will have the opportunity to setup and learn the platform, as well as to model several cases of importance to both civil and mechanical engineering.",Sushobhan Sen,Apply Here,In Person Mode
IP0SS0200005,Visualizing India's infrastructure,"Over the past decade, India has built tremendous physical infrastructure, ranging from roads to airports. Often, these projects are approved and developed independently of each other, such that there is no clear understanding of their geographical distribution or relationship to other measures, such as demographics or per capita income. Policymakers often need a visual tool to assess infrastructure and plan for the future. This project aims to use the open-source library Qt for developing a GIS tool for mapping India's infrastructure. The student will have the opportunity to design a GIS tool, compile data related to India's infrastructure and other information, and present insights into the relationship between them. Future policy recommendations on focus areas for infrastructure would be an additional outcome. Prior knowledge of the Python programming knowledge is essential, while knowledge of C++ and Qt are desirable.",Sushobhan Sen,Apply Here,In Person Mode
IP0SS0300002,DNA barcoding of Indian Medicinal plants,The goal of this project is to carry out DNA barcoding of the Indian medicinal plants. The student intern will have the opportunity to carry out research on medical plants through literature survey and going through the existing databases on medicinal plants. The intern will develop DNA barcoding strategies for selected medicinal plants. He/She will get trained in bioinformatic analysis and basic molecular biology techniques.,Subramanian Sankaranarayanan,Apply Here,In Person Mode
IP0SS0300003,Exploring the pollen biology of Indian medicinal plants,This project will involve the collection and morphological characterisation of pollen from different Indian medicinal plants. The student intern will have the opportunity to learn advanced imaging and staining techniques. The intern will have opportunity to use image processing techniques and machine learning to extract features from the extracted images. The intern is expected to have basic computational and machine learning skills.,Subramanian Sankaranarayanan,Apply Here,In Person Mode
IP0TKA0000008,Kinetic Monte Carlo (KMC) Model for simulating CVD growth of 2D materials using the existing KMC libraries,"The goal of this 8-week long project will be to write a python wrapper to simulate the growth of two-dimensional materials using the existing generic KMC libraries. The project will require a strong grasp on python and familiarity with semiconductor processes like Chemical Vapour Deposition (CVD) and rates of different processes (diffusion, adsorption and desorption). Looking forward to having an individual with a strong interest in semiconductor process modeling for this project.",Tarun Kumar Agarwal,Apply Here,In Person Mode
IP0TKA0000009,Deep-Learning Model for Inverse Design of a Phase-Locked Loops,"In this project, the student will work on creating a deep-learning model after familiarizing himself/herself with the basics of Phase-Locked Loops (PLL). A background in building deep-learning models using TensorFlow 2/PyTorch/Deep Learning Toolbox is required for the project. The goal of this 8-week long project will be to create a deep learning model that takes target metrics as input and provides you with the optimized input parameters values which can help you meet the desired specification of a PLL. Someone with an extensive experience of building deep learning models and having a great interest in applying it for RF circuit design is desirable for the project.",Tarun Kumar Agarwal,Apply Here,In Person Mode
IP0TKA0000010,Post-processing of atomistic simulation data using python and setting up a deep-learning model for inverse design of 2D materials based heterostructure,"The goal of this 8-week long project will be to: a) write python codes to post-process the existing atomistic simulation data for 2D materials based heterostructure from QuantumATK, and b) Build deep-learning models for the inverse design of the Metal-2D material heterostructure to achieve an optimum contact resistance. The project will require a strong grasp on python and an extensive experience in building deep-learning models. Looking forward to having an individual with a strong interest in applying machine learning to inverse design of atomistic 2D materials based devices.",Tarun Kumar Agarwal,Apply Here,In Person Mode
IP0UG0000002,Droplet transport on wettability patterned surfaces,"The effective manipulation of liquids on surfaces without requiring external energy input is crucial for advancing fluid transport devices. Open-surface fluid transport holds significant potential to contribute to healthcare advancements, especially in regions with limited resources. This project aims to explore the possibilities of utilizing capillary forces on wettability-patterned surfaces. The primary focus will be on creating gradients or distinct changes in wettability on substrates to facilitate passive liquid transport and advanced fluidic manipulations without relying on external energy sources. Emphasis is placed on the potential to create simple, cost-effective, and user-friendly liquid transport devices. The applications explored will span from biomedical microfluidics to broader applications in energy and water conservation.",Uddipta Ghosh,Apply Here,In Person Mode
IP0UG0000003,Coalescence-induced droplet jumping,"Condensation of water vapor on non-wettable surfaces has recently gained significant attention due to their ability to repel water droplets at much smaller length scales, achieved through coalescence-induced droplet jumping. This jumping-droplet condensation phenomenon has demonstrated improvements in heat transfer, anti-icing properties, and self-cleaning efficiency. In this project, our focus is to experimentally investigate multidroplet coalescence. We will employ high-speed imaging from side-view and top-view perspectives to analyze numerous jumping events on a copper oxide nanostructured superhydrophobic surface. Our goal is to explore the various mechanisms that lead to droplet jumping scenarios. Additionally, we will measure droplet-jumping speeds across a range of droplet radii to gain insights into the capillary-to-inertial energy conversion mechanism.",Uddipta Ghosh,Apply Here,In Person Mode
IP0UM0000003,Web and Mobile Portal for Seismic Waveform Picking,"The arrival times of the seismic waves are often the most important parameters in determination of earthquake attributes like magnitude, location and focal mechanism. However, this work is often done by a single seismologist. We want to crowdsource seismic waveform picking, for which a platform like mobile app would be ideal. Crowd sourced seismic phase selection outperforms any automated picker as humans are much superior at recognising patterns and as the majority of the arrival times accessible for existing data have no uncertainty data connected with them, AI systems trained on them are only as good or poor as the few people who performed the choosing in the first place.",Utsav Mannu,Apply Here,In Person Mode
IP0VJ0000009,1. Development of an approach for mineral tonnage estimation using physical characteristics of minerals at different grain sizes,"Consistent estimation of mineral tonnage for different grain sizes is a major challenge, as bulk density varies with grain size due to porosity change. The project aims to analyses large number of samples of different minerals in lab. The lab data will be used to define a new approach for consistent estimation of mineral tonnage.",Vikrant Jain,Apply Here,In Person Mode
IP0VJ0000010,River studies using digital and field data,Hydro-geomorphic characteristics of selected river basins will be carried out through integration of field and remote sensing data including DEM. Students will learn some field techniques for geomorphic data collection and GIS techniques for digital data analysis.,Vikrant Jain,Apply Here,In Person Mode
IP0VT0000010,Chemical crystallography,Small molecule structure determination via Single Crystal X-ray diffraction,Vijay Thiruvenkatam,Apply Here,In Person Mode
IP0VT0000011,Protein expression and purification along with structure analysis,Protein expression and purification studies to determine the structures via X-ray Crystallography,Vijay Thiruvenkatam,Apply Here,In Person Mode
IP0VV0000011,Wearable robotic exoskeleton for human movement assistance,"Exoskeletons are robotic systems that are used in parallel with a human body segment for assisting disabled individuals. In our lab, we are developing wearable robotic exoskeletons that are light-weight, flexible, and can be worn on legs, arms, or trunk. This project will involve activities, such as design and development, control, and testing, to apply controlled external forces during movement tasks, such as walking, lifting weight, drawing, etc.",Vineet Vashista,Apply Here,In Person Mode
,,Reference papers: https://doi.org/10.1109/LRA.2022.3184781 and,,,
,,https://doi.org/10.1109/LRA.2022.3183748,,,
IP0VV0000012,Outdoor Aerial Transportation using Quadcopters,"Deploying quadcopters for aerial transportation can be cost effective in impromptu material handling applications. However, such applications are limited mainly due to the requirement of onboard localization sensors and associated computation. This project explores different collaboration modalities, such as human-quadcopter or multiple quadcopters, to successfully execute spontaneous outdoor flight of a quadcopter with a payload.",Vineet Vashista,Apply Here,In Person Mode
,,Paper Reference: https://doi.org/10.1109/ICRA40945.2020.9197279 and,,,
,,https://doi.org/10.1017/S0263574721001302,,,
IP0VV0000013,Cable driven parallel robot,"We are developing a table-top cable-driven parallel robotic manipulator in our lab. The project work involves the hardware development of the system, control, and theoretical analysis of system performance. Please reach out to me to see the setup and understand its usability/application.",Vineet Vashista,Apply Here,In Person Mode
IP0YKM0000001,Virtual reality-based interfaces for effective communication,,Yogesh K Meena,Apply Here,In Person Mode
IP0YKM0000002,Hands-Free Text-based user interface for iOS and Android platforms.,,Yogesh K Meena,Apply Here,In Person Mode
IP0YKM0000003,Speech and Natural Language Input for Digital Apps,,Yogesh K Meena,Apply Here,In Person Mode
IP0YKM0000004,Conversational AI,,Yogesh K Meena,,
